Ogrenci_ID,Ogrenci_Adi,Bolum,Vize_Notu,Final_Notu,Odev_Notu,Devam_Orani_%
1046,Cem Acar,Bilgisayar Muh.,99,96,35,94
1047,Mehmet Cetin,Endustri Muh.,97,86,70,71
1048,Burak Dogan,Bilgisayar Muh.,58,70,46,97
1049,Deniz Arslan,Yazilim Muh.,65,29,31,84
1050,Kubra Acar,Yapay Zeka Muh.,34,88,57,87
1051,Emre Ozkan,Veri Bilimi,33,51,77,73
1052,Zeynep Kara,Endustri Muh.,63,98,97,55
1053,Ece Ozdemir,Veri Bilimi,38,37,63,62
1054,Cem Sahin,Endustri Muh.,44,54,66,93
1055,Burak Dogan,Bilgisayar Muh.,58,84,92,71
1056,Cem Demir,Yapay Zeka Muh.,79,55,35,55
1057,Mustafa Ozkan,Veri Bilimi,45,76,100,100
1058,Fatma Ozdemir,Yapay Zeka Muh.,39,29,49,89
1059,Ayse Kilic,Endustri Muh.,95,38,85,63
1060,Ayse Arslan,Veri Bilimi,30,65,56,98
1061,Seda Sahin,Veri Bilimi,96,72,49,70
1062,Pinar Celik,Bilgisayar Muh.,77,23,52,76
1063,Ezgi Cetin,Bilgisayar Muh.,59,40,43,79
1064,Pinar Demir,Yazilim Muh.,53,45,88,77
1065,Gizem Yildiz,Bilgisayar Muh.,28,44,81,76
1066,Emre Kaya,Veri Bilimi,69,85,81,98
1067,Bora Ozdemir,Veri Bilimi,28,34,63,66
1068,Huseyin Ozturk,Yapay Zeka Muh.,38,96,85,77
1069,Gamze Dogan,Yazilim Muh.,90,34,79,91
1070,Burak Ozturk,Yapay Zeka Muh.,80,20,96,89
1071,Ece Aydin,Veri Bilimi,80,28,72,94
1072,Mustafa Sahin,Veri Bilimi,89,59,82,75
1073,Omer Arslan,Endustri Muh.,41,44,83,97
1074,Omer Celik,Endustri Muh.,97,58,81,90
1075,Bora Yilmaz,Veri Bilimi,61,46,85,92
1076,Kubra Dogan,Yazilim Muh.,81,76,57,87
1077,Buse Celik,Yapay Zeka Muh.,61,85,72,60
1078,Bora Yildiz,Veri Bilimi,53,45,48,56
1079,Ayse Yildiz,Yazilim Muh.,34,78,83,95
1080,Huseyin Aydin,Yazilim Muh.,88,71,61,64
1081,Deniz Yilmaz,Yapay Zeka Muh.,79,48,52,99
1082,Hasan Kara,Yapay Zeka Muh.,96,51,45,84
1083,Can Kara,Endustri Muh.,96,96,70,83
1084,Kubra Kurt,Yazilim Muh.,95,77,50,85
1085,Ali Ozturk,Bilgisayar Muh.,60,86,92,95
1086,Seda Ozturk,Yazilim Muh.,34,56,60,72
1087,Mustafa Dogan,Endustri Muh.,35,37,49,69
1088,Omer Ozkan,Bilgisayar Muh.,33,73,82,76
1089,Irem Kara,Yazilim Muh.,32,46,83,79
1090,Cem Acar,Yapay Zeka Muh.,98,68,91,55
1091,Merve Arslan,Yazilim Muh.,78,88,99,93
1092,Cem Yildiz,Yazilim Muh.,53,54,85,86
1093,Ahmet Aslan,Veri Bilimi,76,41,89,63
1094,Kubra Ozdemir,Yapay Zeka Muh.,75,95,33,60
1095,Deniz Cetin,Bilgisayar Muh.,84,43,36,71
1096,Omer Dogan,Bilgisayar Muh.,83,61,73,79
1097,Emre Cetin,Veri Bilimi,35,80,32,89
1098,Ayse Kilic,Bilgisayar Muh.,33,25,33,70
1099,Burak Yilmaz,Endustri Muh.,44,50,46,85
1100,Ece Sahin,Endustri Muh.,52,79,62,78
